,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
6,Cayenne,GF,82.09400000000008,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
13,Vaini,TO,84.36200000000005,scattered clouds,-21.2,-175.2,Keleti Beach Resort
17,Manaure,CO,87.566,few clouds,11.7751,-72.4445,Hotel Palaaima
21,Ibra,OM,77.558,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
22,Beira,MZ,78.89000000000001,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
23,Rikitea,PF,77.82800000000006,light rain,-23.1203,-134.9692,People ThankYou
24,Grand Gaube,MU,78.38600000000008,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
31,Boa Vista,BR,89.58200000000002,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
33,Kapaa,US,82.38200000000002,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Soyo,AO,78.47600000000008,overcast clouds,-6.1349,12.3689,Hotel Mpampa
43,Cabedelo,BR,81.26600000000002,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
44,Faanui,PF,82.43600000000006,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
49,Riyadh,SA,78.94400000000007,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
54,Diamantino,BR,75.93800000000005,broken clouds,-14.4086,-56.4461,Hotel Delta
55,San Ignacio,BZ,96.94400000000007,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
58,Bloomingdale,US,85.5680000000001,broken clouds,27.8936,-82.2404,Travel Club for Free
62,Gosainganj,IN,82.94000000000003,clear sky,26.5833,82.3833,suraj Trunk House
71,Butaritari,KI,81.24800000000002,broken clouds,3.0707,172.7902,Isles Sunset Lodge
72,San Cristobal,VE,77.18000000000004,overcast clouds,7.7669,-72.225,Pirineos
78,Touros,BR,80.15,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
88,Arraial Do Cabo,BR,76.96400000000003,clear sky,-22.9661,-42.0278,Pousada Porto Praia
91,Acapulco,MX,84.02000000000007,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
93,Sokone,SN,85.892,few clouds,13.8833,-16.3667,Hôtel le Caïman
98,Simoes,BR,81.21200000000006,broken clouds,-7.5989,-40.8178,Hotel Ponto Certo
104,Anloga,GH,82.058,overcast clouds,5.7947,0.8973,Pin Drop Hotel
106,Carutapera,BR,77.12600000000009,overcast clouds,-1.195,-46.02,Lidera
109,Mairwa,IN,84.32600000000009,clear sky,26.2333,84.15,Shri Krishna Dharmshala
112,Mayumba,GA,77.73800000000006,light rain,-3.432,10.6554,LIKWALE LODGE
122,Alofi,NU,85.892,scattered clouds,-19.0595,-169.9187,Taloa Heights
123,Saint-Philippe,RE,78.38600000000008,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
126,Kieta,PG,81.55400000000006,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
128,Laguna De Perlas,NI,84.29000000000002,scattered clouds,12.3429,-83.6712,Hotel Best View
134,Hilo,US,82.27400000000002,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
135,Papara,BR,80.99600000000005,broken clouds,-3.9839,-38.7273,Bela vista Maranguape
137,Caravelas,BR,80.11400000000003,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
139,Vanimo,PG,79.17800000000007,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
142,Acajutla,SV,86.95400000000006,scattered clouds,13.5928,-89.8275,Laureles
143,Iracoubo,GF,77.36000000000008,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
