City ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,288.64,71,56,3.71,broken clouds
1,Castro,BR,-24.7911,-50.0119,287.77,95,18,2.68,few clouds
2,Busselton,AU,-33.65,115.3333,286.94,86,0,3.56,clear sky
3,Zhanaozen,KZ,43.3,52.8,284.01,52,70,0.61,broken clouds
4,Mataura,NZ,-46.1927,168.8643,286.19,74,5,1.01,clear sky
5,Winslow,US,35.0242,-110.6974,296.25,9,0,10.8,clear sky
6,Cayenne,GF,4.9333,-52.3333,300.98,1,75,5.66,broken clouds
7,Ondjiva,AO,-17.0667,15.7333,293.44,65,7,2.26,clear sky
8,Sao Filipe,CV,14.8961,-24.4956,295.11,75,1,4.16,clear sky
9,Mehran,IR,33.1222,46.1646,293.43,32,21,3.32,light rain
10,Dikson,RU,73.5069,80.5464,264.13,93,100,2.87,overcast clouds
11,Maku,IR,39.2911,44.4521,277.87,43,0,1.67,clear sky
12,Lompoc,US,34.6391,-120.4579,296.8,65,0,10.28,clear sky
13,Vaini,TO,-21.2,-175.2,302.24,84,40,4.12,scattered clouds
14,Yining,CN,29.0361,114.5636,286.68,86,100,1.83,overcast clouds
15,Barrow,US,71.2906,-156.7887,256.16,78,0,8.23,clear sky
16,Chuy,UY,-33.6971,-53.4616,286.47,64,1,4.8,clear sky
17,Manaure,CO,11.7751,-72.4445,304.02,54,15,10.79,few clouds
18,Mar Del Plata,AR,-38.0023,-57.5575,288.64,73,0,2.68,clear sky
19,Lima,PE,-12.0432,-77.0282,292.81,65,20,4.63,few clouds
20,Flin Flon,CA,54.7682,-101.865,266.06,35,100,8.23,overcast clouds
21,Ibra,OM,22.6906,58.5334,298.46,35,2,0.25,clear sky
22,Beira,MZ,-19.8436,34.8389,299.2,94,75,3.09,broken clouds
23,Rikitea,PF,-23.1203,-134.9692,298.61,69,27,7.76,light rain
24,Grand Gaube,MU,-20.0064,57.6608,298.92,73,19,3.58,few clouds
25,Port Alfred,ZA,-33.5906,26.891,291.03,93,99,2.68,overcast clouds
26,Gornopravdinsk,RU,60.05,69.9,275.81,100,99,1.52,overcast clouds
27,Karaman,TR,37.0833,33.25,277.8,44,15,2.39,few clouds
28,Payson,US,40.0444,-111.7321,286.86,25,40,3.58,scattered clouds
29,Saskylakh,RU,71.9167,114.0833,248.87,99,100,2.31,overcast clouds
30,Dunedin,NZ,-45.8742,170.5036,287.59,64,0,1.31,clear sky
31,Boa Vista,BR,2.8197,-60.6733,305.14,48,75,4.12,broken clouds
32,Marmora,IT,44.4583,7.094,282.65,76,66,1.66,broken clouds
33,Kapaa,US,22.0752,-159.319,301.14,76,40,6.69,scattered clouds
34,Ushuaia,AR,-54.8,-68.3,281.96,57,20,8.23,few clouds
35,Albany,US,42.6001,-73.9662,287.91,77,100,3.13,overcast clouds
36,Hobart,AU,-42.8794,147.3294,290.52,64,75,9.26,light rain
37,Soyo,AO,-6.1349,12.3689,298.97,90,100,2.04,overcast clouds
38,Kushiro,JP,42.975,144.3747,274.68,86,75,2.57,snow
39,Kolvereid,NO,64.8655,11.6047,275.31,77,20,1.86,few clouds
40,Duluth,US,46.7833,-92.1066,275.68,81,100,8.23,light snow
41,Tsiroanomandidy,MG,-18.7667,46.0333,292.2,85,25,1.55,scattered clouds
42,Marsabit,KE,2.3284,37.9899,293.31,75,95,4.35,light rain
43,Cabedelo,BR,-6.9811,-34.8339,300.52,75,45,4.98,scattered clouds
44,Faanui,PF,-16.4833,-151.75,301.17,71,24,8.57,few clouds
45,Tuktoyaktuk,CA,69.4541,-133.0374,254.15,78,20,4.12,few clouds
46,Vallenar,CL,-28.5708,-70.7581,293.95,41,0,2.94,clear sky
47,Ribeira Grande,PT,38.5167,-28.7,289.37,88,75,8.23,broken clouds
48,Jamestown,US,42.097,-79.2353,285.66,24,0,6.17,clear sky
49,Riyadh,SA,24.6877,46.7219,299.23,27,100,7.59,overcast clouds
50,Goure,NE,13.9835,10.2704,304.4,19,90,2.7,overcast clouds
51,Chubbuck,US,42.9208,-112.4661,280.09,66,75,8.23,broken clouds
52,Cape Town,ZA,-33.9258,18.4232,288.64,75,75,6.17,broken clouds
53,Uvat,RU,59.1433,68.8953,277.15,100,100,1.63,overcast clouds
54,Diamantino,BR,-14.4086,-56.4461,297.56,88,62,2.18,broken clouds
55,San Ignacio,BZ,17.1561,-89.0714,309.23,46,40,0.0,scattered clouds
56,Pisco,PE,-13.7,-76.2167,293.18,77,0,9.77,clear sky
57,Henties Bay,NA,-22.116,14.2845,289.23,83,0,3.01,clear sky
58,Bloomingdale,US,27.8936,-82.2404,302.91,73,75,2.24,broken clouds
59,Bako,ET,5.7833,36.5667,290.94,84,87,2.13,light rain
60,Airai,TL,-8.9266,125.4092,289.61,85,94,0.97,overcast clouds
61,Esperance,AU,-33.8667,121.9,289.67,64,99,2.04,overcast clouds
62,Gosainganj,IN,26.5833,82.3833,301.45,15,2,3.06,clear sky
63,Mayo,US,38.8876,-76.5119,294.38,59,0,5.66,clear sky
64,Husavik,IS,66.0449,-17.3389,277.62,87,100,4.53,overcast clouds
65,Nikolskoye,RU,59.7035,30.7861,276.37,99,100,1.15,overcast clouds
66,Awjilah,LY,29.1081,21.2869,296.14,18,70,9.4,broken clouds
67,Kenora,CA,49.8167,-94.4337,268.69,93,100,3.09,overcast clouds
68,Bredasdorp,ZA,-34.5322,20.0403,286.88,72,55,3.1,broken clouds
69,Aleksandrov Gay,RU,50.147,48.5704,279.56,86,98,10.29,light rain
70,Iida,JP,35.5197,137.8207,287.06,100,100,0.89,light rain
71,Butaritari,KI,3.0707,172.7902,300.51,75,81,5.72,broken clouds
