City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
0,Grand Forks,US,2022-04-12 20:13:06,47.9417,-97.4337,30.13,93,100,20.71
1,Upernavik,GL,2022-04-12 20:16:16,72.7868,-56.1549,12.04,92,100,9.64
2,Gobabis,NA,2022-04-12 20:16:16,-22.45,18.9667,73.96,35,100,5.73
3,Sorong,ID,2022-04-12 20:16:16,-0.8833,131.25,81.55,76,100,5.79
4,Albany,US,2022-04-12 20:15:07,42.6001,-73.9662,68.04,35,0,3.0
5,Conde,BR,2022-04-12 20:16:17,-7.2597,-34.9075,81.86,74,20,9.22
6,Carnarvon,AU,2022-04-12 20:16:17,-24.8667,113.6333,60.87,77,0,9.22
7,Abonnema,NG,2022-04-12 20:16:17,4.7084,6.7931,80.89,80,100,3.67
8,Mataura,NZ,2022-04-12 20:16:18,-46.1927,168.8643,48.47,96,84,2.82
9,Highland Park,US,2022-04-12 20:15:09,42.1817,-87.8003,71.35,40,75,10.0
10,Cabo San Lucas,MX,2022-04-12 20:12:46,22.8909,-109.9124,84.51,39,40,10.36
11,Esperance,AU,2022-04-12 20:16:19,-33.8667,121.9,64.49,87,98,12.01
12,Ribeira Grande,PT,2022-04-12 20:16:19,38.5167,-28.7,63.0,88,75,11.5
13,Punta Arenas,CL,2022-04-12 20:13:35,-53.15,-70.9167,51.12,60,40,32.21
14,Jiamusi,CN,2022-04-12 20:16:19,46.8333,130.35,34.7,60,51,4.76
15,Christchurch,NZ,2022-04-12 20:15:05,-43.5333,172.6333,51.01,90,100,1.14
16,Hobart,AU,2022-04-12 20:14:43,-42.8794,147.3294,53.46,81,5,8.05
17,Hithadhoo,MV,2022-04-12 20:16:20,-0.6,73.0833,83.48,69,26,12.71
18,Karaton,ID,2022-04-12 20:16:20,-6.3424,106.1045,73.11,94,14,2.01
19,Ushuaia,AR,2022-04-12 20:16:21,-54.8,-68.3,44.22,75,75,36.82
20,Vaini,TO,2022-04-12 20:16:21,-21.2,-175.2,82.56,78,20,9.22
21,Hobyo,SO,2022-04-12 20:12:28,5.3505,48.5268,82.92,72,6,12.55
22,Farah,AF,2022-04-12 20:13:28,32.5,62.5,68.81,16,0,1.79
